Word,Start_Time(sec),End_Time(sec),Duration(sec)
when,0.590,0.810,0.220
the,0.810,0.870,0.060
sunlight,0.870,1.450,0.580
strikes,1.450,2.000,0.550
raindrops,2.000,2.700,0.700
in,2.700,2.800,0.100
the,2.800,2.890,0.090
air,2.890,3.200,0.310
they,3.670,3.800,0.130
act,3.800,4.100,0.300
as,4.100,4.190,0.090
a,4.190,4.240,0.050
prism,4.240,4.760,0.520
and,4.800,4.900,0.100
form,4.900,5.220,0.320
a,5.220,5.270,0.050
rainbow,5.270,5.710,0.440
