Word,Start_Time(sec),End_Time(sec),Duration(sec)
when,0.580,0.780,0.200
the,0.780,0.850,0.070
sunlight,0.850,1.420,0.570
strikes,1.420,1.990,0.570
raindrops,1.990,2.670,0.680
in,2.670,2.770,0.100
the,2.770,2.880,0.110
air,2.880,3.200,0.320
they,3.640,3.780,0.140
act,3.780,4.070,0.290
as,4.070,4.170,0.100
a,4.170,4.210,0.040
prism,4.210,4.730,0.520
and,4.770,4.870,0.100
form,4.870,5.200,0.330
a,5.200,5.250,0.050
rainbow,5.250,5.770,0.520
