Word,Start_Time(sec),End_Time(sec),Duration(sec)
when,0.590,0.790,0.200
the,0.790,0.850,0.060
sunlight,0.850,1.420,0.570
strikes,1.420,1.980,0.560
raindrops,1.980,2.200,0.220
in,2.200,2.310,0.110
the,2.310,2.370,0.060
air,2.370,2.450,0.080
they,2.450,3.780,1.330
act,3.780,4.070,0.290
as,4.070,4.170,0.100
a,4.170,4.210,0.040
prism,4.210,4.750,0.540
and,4.780,4.880,0.100
form,4.880,5.200,0.320
a,5.200,5.250,0.050
rainbow,5.250,5.700,0.450
